ID_DESA,NAMA_PROV,NAMA_KAB,NAMA_KEC,NAMA_DESA,Rain_Max_2024_mm,LST_Max_2024_C,NDVI_Max_2024,X1,X2,X3,TARGET
140101002,RIAU,BENGKALIS,BANDAR LAKSAMANA,BUKIT KERIKIL,0.0,34.88126047441025,0.8311173907438445,28.99042219134824,34.891160605529464,13.630527531492472,0
140101003,RIAU,BENGKALIS,BANDAR LAKSAMANA,PARIT I API API,0.0,33.28881991096725,0.8561840425531914,28.501356403197107,33.29982856081293,13.66024180296925,0
140101004,RIAU,BENGKALIS,BANDAR LAKSAMANA,SEPAHAT,0.0,33.87341955197447,0.874293612946471,29.61531436294739,33.88470069907252,13.681172683588146,0
140101005,RIAU,BENGKALIS,BANDAR LAKSAMANA,TANJUNG LEBAN,0.0,33.28881991096725,0.8561840425531914,28.501356403197107,33.29982856081293,13.66024180296925,0
140101006,RIAU,BENGKALIS,BANDAR LAKSAMANA,TEMIANG,0.0,31.609819186338548,0.8932940318389277,28.236862826663856,31.622438919544706,13.702672188092608,0
140101007,RIAU,BENGKALIS,BANDAR LAKSAMANA,TENGGAYUN,0.0,33.82615248674581,0.8782961303462327,29.70937883361044,33.8375530461226,13.685740232617887,0
140102001,RIAU,BENGKALIS,BANTAN,BANTAN AIR,0.0,32.30764003673099,0.8452001606978881,27.306422550814553,32.31869378633095,13.647329938005027,0
140102002,RIAU,BENGKALIS,BANTAN,BANTAN SARI,0.0,32.39582187295353,0.8761611001964636,28.38395893397563,32.40766781330665,13.683306398686025,0
140102003,RIAU,BENGKALIS,BANTAN,BANTAN TENGAH,0.0,31.51941001064965,0.8529992971246009,26.88603458486626,31.530950116042117,13.656515174802713,0
140102004,RIAU,BENGKALIS,BANTAN,BANTAN TIMUR,0.0,32.42417005695691,0.8594616913404991,27.867332037464152,32.435558855696364,13.664062695463842,0
140102005,RIAU,BENGKALIS,BANTAN,BANTAN TUA,0.0,33.47820533227221,0.8690568842021489,29.094464814744253,33.489483306521144,13.675165012158228,0
140102006,RIAU,BENGKALIS,BANTAN,BERANCAH,0.0,31.383414304993284,0.8547122807017546,26.823789616828883,31.395050987721607,13.65852134746998,0
140102007,RIAU,BENGKALIS,BANTAN,DELUK,0.0,33.976648841354745,0.7586846285714285,25.77756120630508,33.98511834398055,13.539342778971236,0
140102008,RIAU,BENGKALIS,BANTAN,JANGKANG,0.0,34.50696555650443,0.8582184435797664,29.61451427256384,34.51763622866844,13.662615107516618,0
140102009,RIAU,BENGKALIS,BANTAN,KEMBUNG BARU,0.0,33.975515188654505,0.8637604744813097,29.346707120099158,33.98649311846942,13.669051938469336,0
140102010,RIAU,BENGKALIS,BANTAN,KEMBUNG LUAR,0.0,34.925344522047354,0.8792686932215231,30.708762038212058,34.93641085484573,13.686846947835216,0
140102011,RIAU,BENGKALIS,BANTAN,MENTAYAN,0.0,31.712038314176272,0.8083156700288187,25.63333749790296,31.722338316432445,13.602709179075793,0
140102012,RIAU,BENGKALIS,BANTAN,MUNTAI,0.0,37.66764705882356,0.8607549219687876,32.422612604865506,37.67748046225746,13.665566261187312,0
140102015,RIAU,BENGKALIS,BANTAN,PAMBANG PESISIR,0.0,33.83632111251584,0.8240381773399014,27.882420377445175,33.8463537969306,13.62197335307678,0
140102016,RIAU,BENGKALIS,BANTAN,PASIRAN,0.0,31.532602467170744,0.8747520095503383,27.583207374509563,31.54473346583919,13.681696850693108,0
140102017,RIAU,BENGKALIS,BANTAN,RESAM LAPIS,0.0,31.483825503355742,0.8648905735204393,27.23006389621478,31.49570294548001,13.670359429525949,0
140102018,RIAU,BENGKALIS,BANTAN,SELAT BARU,0.0,32.05955375722545,0.8339404478795084,26.735758619117767,32.0703982479644,13.633918472496815,0
140102019,RIAU,BENGKALIS,BANTAN,SUKA MAJU,0.0,33.47649820196328,0.8489862571678489,28.42108691157103,33.48726189957774,13.651799455955697,0
140102020,RIAU,BENGKALIS,BANTAN,TELUK LANCAR,0.0,36.44090822179734,0.8616029414537568,31.397593713146982,36.45109259896305,13.666550979388779,0
140102021,RIAU,BENGKALIS,BANTAN,TELUK PAMBANG,0.0,33.28881991096725,0.8561840425531914,28.501356403197107,33.29982856081293,13.66024180296925,0
140102022,RIAU,BENGKALIS,BANTAN,TELUK PAPAL,0.0,33.139571020019105,0.8206377025738798,27.195581426152405,33.14973021956251,13.617838221628816,0
140102023,RIAU,BENGKALIS,BANTAN,ULU PULAU,0.0,31.45575325087221,0.8629113542657784,27.1435266371603,31.46758695205399,13.668068405540483,0
140103001,RIAU,BENGKALIS,BATHIN SOLAPAN,AIR KULIM,0.0,33.28881991096725,0.8561840425531914,28.501356403197107,33.29982856081293,13.66024180296925,0
140103002,RIAU,BENGKALIS,BATHIN SOLAPAN,BALAI MAKAM,0.0,33.28881991096725,0.8561840425531914,28.501356403197107,33.29982856081293,13.66024180296925,0
140103003,RIAU,BENGKALIS,BATHIN SOLAPAN,BATHIN SOBANGA,0.0,32.97125678377609,0.8561045701228223,28.22684361528382,32.98236936511211,13.660148977102148,0
140103004,RIAU,BENGKALIS,BATHIN SOLAPAN,BONCAH MAHANG,0.0,32.76995110024451,0.8094796522684053,26.526608621478577,32.77994741331739,13.604148150972202,0
140103005,RIAU,BENGKALIS,BATHIN SOLAPAN,BULUH MANIS,0.0,34.08173277876201,0.8235298184805773,28.06732320879742,34.0916809583345,13.621356251676845,0
140103007,RIAU,BENGKALIS,BATHIN SOLAPAN,KESUMBO AMPAI,0.0,33.28881991096725,0.8561840425531914,28.501356403197107,33.29982856081293,13.66024180296925,0
